Date,Channel,Username,Message,Tag_owner,Cleanest_message,clean_message_duplicates
2021-09-14 17:51:37,greekgodx ,vitacrown,FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan,0,fake taxi pagman fake taxi pagman fake taxi pagman fake taxi pagman fake taxi pagman fake taxi pagman fake taxi pagman,FAKE TAXI PagMan
2021-09-14 17:51:37,greekgodx ,mehditelepati07,"steer opposite direction that you want to go : left to right, right to left",0,"steer opposit direct want go : left right, right left","steer opposite direction want go : left right, right"
2021-09-14 17:51:37,greekgodx ,superevilfinn,BOOBA SEX,0,booba sex,BOOBA SEX
2021-09-14 17:51:38,greekgodx ,barca_mafia,2 ft deep water OMEGALUL,0,2 ft deep water omegalul,2 ft deep water OMEGALUL
2021-09-14 17:51:38,greekgodx ,ahmet_charts,"dont steer hard, STEER JUST A LITTLE",0,"dont steer hard, steer just a littl","dont steer hard, STEER JUST A LITTLE"
2021-09-14 17:51:38,greekgodx ,suddym8,then wot,0,wot,wot
2021-09-14 17:51:38,greekgodx ,triduum,BOOBA Girls,0,booba girl,BOOBA Girls
2021-09-14 17:51:39,greekgodx ,2001_mazda_protege,forsenCD :victory_hand:,0,forsencd :victory_hand:,forsenCD :victory_hand:
2021-09-14 17:51:39,greekgodx ,lordisaac_,TRUEING,0,true,TRUEING
2021-09-14 17:51:39,greekgodx ,jamboxp,EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them,0,ez go ez go ez go ez go ez go ez go ez go ez go ez go ez go,EZ Go
2021-09-14 17:51:39,greekgodx ,spike_o5,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:40,greekgodx ,eskilomannn,2 girls 1 boat KEKW,0,2 girl 1 boat kekw,2 girls 1 boat KEKW
2021-09-14 17:51:40,greekgodx ,betweenwas,EZ,0,ez,EZ
2021-09-14 17:51:41,greekgodx ,africanplaya,DansGame TRUEING,0,dansgam true,DansGame TRUEING
2021-09-14 17:51:41,greekgodx ,huck110,STREAM SNIPERS LUL,0,stream sniper lul,STREAM SNIPERS LUL
2021-09-14 17:51:41,greekgodx ,invincible_vltrm,BOOBA,0,booba,BOOBA
2021-09-14 17:51:41,greekgodx ,i_am_nab,DansGame ewwww,0,dansgam ewwww,DansGame ewwww
2021-09-14 17:51:41,greekgodx ,fredreset,ask if they called for a uber,0,ask call uber,ask called uber
2021-09-14 17:51:41,greekgodx ,snokey_,realvrScared girls,0,realvrscar girl,realvrScared girls
2021-09-14 17:51:42,greekgodx ,rs3isbetterree,BOOBA,0,booba,BOOBA
2021-09-14 17:51:42,greekgodx ,leeqox,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:43,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,"dont steer hard, steer just a littl","dont steer hard, STEER JUST A LITTLE"
2021-09-14 17:51:43,greekgodx ,rayase_,BOOBA,0,booba,BOOBA
2021-09-14 17:51:43,greekgodx ,dannystylez424,LULW,0,lulw,LULW
2021-09-14 17:51:43,greekgodx ,stanmeister,peepoHey hi,0,peepohey hi,peepoHey hi
2021-09-14 17:51:43,greekgodx ,superevilfinn,BOOBA SEX TIME,0,booba sex time,BOOBA SEX TIME
2021-09-14 17:51:44,greekgodx ,nowthatswhaticallkkona,LULW,0,lulw,LULW
2021-09-14 17:51:44,greekgodx ,pygmy0,EZ Clap,0,ez clap,EZ Clap
2021-09-14 17:51:44,greekgodx ,gianfrishow,BOOBA,0,booba,BOOBA
2021-09-14 17:51:45,greekgodx ,tk0777,LUL,0,lul,LUL
2021-09-14 17:51:45,greekgodx ,paxt___,PogU,0,pogu,PogU
2021-09-14 17:51:45,greekgodx ,nocapintended,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:46,greekgodx ,wavydelics,stranded at sea OMEGALUL,0,strand sea omegalul,stranded sea OMEGALUL
2021-09-14 17:51:47,greekgodx ,morrissingss,GET IN,0,get in,GET IN
2021-09-14 17:51:47,greekgodx ,superevilfinn,SEX TIME,0,sex time,SEX TIME
2021-09-14 17:51:47,greekgodx ,paxt___,EZ,0,ez,EZ
2021-09-14 17:51:49,greekgodx ,erixp,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:49,greekgodx ,gabenator,BOOBA,0,booba,BOOBA
2021-09-14 17:51:49,greekgodx ,hyeimshy,carried by woman KEKDriving,0,carri woman kekdriv,carried woman KEKDriving
2021-09-14 17:51:49,greekgodx ,ben420_,EZ Clap,0,ez clap,EZ Clap
2021-09-14 17:51:49,greekgodx ,stanmeister,monkaW,0,monkaw,monkaW
2021-09-14 17:51:49,greekgodx ,saiyang325,WutFace WutFace WutFace,0,wutfac wutfac wutfac,WutFace
2021-09-14 17:51:49,greekgodx ,olightings,@LeeqoX I think its just you becuase im having no audio probs,0,@leeqox i think becuas im audio prob,@LeeqoX I think becuase im audio probs
2021-09-14 17:51:50,greekgodx ,fletchdawg,monkaW,0,monkaw,monkaW
2021-09-14 17:51:50,greekgodx ,luketheleftist,OH GOD,0,oh god,OH GOD
2021-09-14 17:51:50,greekgodx ,mustfax19,LUL,0,lul,LUL
2021-09-14 17:51:51,greekgodx ,elizrush,porn intro,0,porn intro,porn intro
2021-09-14 17:51:51,greekgodx ,mindshape,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:51,greekgodx ,lucky_2o21_bruvv,Sadge,0,sadg,Sadge
2021-09-14 17:51:52,greekgodx ,39matt,ask them to borrow theirs,0,ask borrow,ask borrow
2021-09-14 17:51:53,greekgodx ,beeristhedevil,LUL,0,lul,LUL
2021-09-14 17:51:53,greekgodx ,rapidarc_,monkaW,0,monkaw,monkaW
2021-09-14 17:51:53,greekgodx ,nocapintended,monkaW,0,monkaw,monkaW
2021-09-14 17:51:53,greekgodx ,travinatorog,monkaW,0,monkaw,monkaW
2021-09-14 17:51:53,greekgodx ,solvents,FAKE TAXI PagMan,0,fake taxi pagman,FAKE TAXI PagMan
2021-09-14 17:51:53,greekgodx ,fletchdawg,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:53,greekgodx ,kaecilius13,LULW,0,lulw,LULW
2021-09-14 17:51:53,greekgodx ,erixp,IDIOT OMEGALUL,0,idiot omegalul,IDIOT OMEGALUL
2021-09-14 17:51:53,greekgodx ,sark3585,monkaW,0,monkaw,monkaW
2021-09-14 17:51:54,greekgodx ,rowwwy,Drop some gam e,0,drop gam e,Drop gam e
2021-09-14 17:51:54,greekgodx ,ivanfunny8,EZ HES IN ( Kapp ),0,ez he in ( kapp ),EZ HES IN ( Kapp )
2021-09-14 17:51:54,greekgodx ,x808,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:54,greekgodx ,wondrous_shoopuf,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:54,greekgodx ,alundz0114,POG DONT CARE,0,pog dont care,POG DONT CARE
2021-09-14 17:51:54,greekgodx ,zacke24rj,monkaW,0,monkaw,monkaW
2021-09-14 17:51:54,greekgodx ,spike_77,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:54,greekgodx ,lordisaac_,monkaW,0,monkaw,monkaW
2021-09-14 17:51:54,greekgodx ,majik,monkaW,0,monkaw,monkaW
2021-09-14 17:51:54,greekgodx ,mrdude90,monkaW,0,monkaw,monkaW
2021-09-14 17:51:55,greekgodx ,spike_o5,OMEGALUL 󠀀,0,omegalul 󠀀,OMEGALUL 󠀀
2021-09-14 17:51:55,greekgodx ,betweenwas,EZ EZ,0,ez ez,EZ
2021-09-14 17:51:55,greekgodx ,ant__k,m8 pepeMeltdown,0,m8 pepemeltdown,m8 pepeMeltdown
2021-09-14 17:51:56,greekgodx ,fletchdawg,monkaS,0,monka,monkaS
2021-09-14 17:51:56,greekgodx ,nofriendsirl7,monkaS,0,monka,monkaS
2021-09-14 17:51:56,greekgodx ,dafuxas,monkaW,0,monkaw,monkaW
2021-09-14 17:51:56,greekgodx ,wizject,monkaW,0,monkaw,monkaW
2021-09-14 17:51:56,greekgodx ,haj_oon,monkaS,0,monka,monkaS
2021-09-14 17:51:56,greekgodx ,paxt___,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:56,greekgodx ,kian22,OCTOPUS monkaW @Greekgodx,0,octopu monkaw @greekgodx,OCTOPUS monkaW @Greekgodx
2021-09-14 17:51:56,greekgodx ,sirwaddleton,monkaW ?,0,monkaw ?,monkaW ?
2021-09-14 17:51:56,greekgodx ,wyss,DonoWall IM DYING,0,donowal im dy,DonoWall IM DYING
2021-09-14 17:51:56,greekgodx ,comitatvs,monkaS,0,monka,monkaS
2021-09-14 17:51:56,greekgodx ,ahmet_charts,"dont steer hard, STEER JUST A LITTLE",0,"dont steer hard, steer just a littl","dont steer hard, STEER JUST A LITTLE"
2021-09-14 17:51:56,greekgodx ,kabooki_,LULW,0,lulw,LULW
2021-09-14 17:51:56,greekgodx ,ajhaoja,Ask ig,0,ask ig,Ask ig
2021-09-14 17:51:57,greekgodx ,ant__k,m8 pepeMeltdown 󠀀,0,m8 pepemeltdown 󠀀,m8 pepeMeltdown 󠀀
2021-09-14 17:51:57,greekgodx ,xxdogpoopooxx,monkaW,0,monkaw,monkaW
2021-09-14 17:51:57,greekgodx ,sark3585,monkaW WTF,0,monkaw wtf,monkaW WTF
2021-09-14 17:51:57,greekgodx ,resarius,monkaW,0,monkaw,monkaW
2021-09-14 17:51:57,greekgodx ,mustfax19,shark monkaS,0,shark monka,shark monkaS
2021-09-14 17:51:57,greekgodx ,fluxenis,monkerS shark,0,monker shark,monkerS shark
2021-09-14 17:51:57,greekgodx ,ilikejollibee,monkaS,0,monka,monkaS
2021-09-14 17:51:57,greekgodx ,exiledxinsanity,monkaW,0,monkaw,monkaW
2021-09-14 17:51:57,greekgodx ,daddyfredy,monkaW,0,monkaw,monkaW
2021-09-14 17:51:57,greekgodx ,kaecilius13,GachiPls FLIP GachiPls FLIP GachiPls FLIP GachiPls FLIP GachiPls FLIP GachiPls FLIP GachiPls FLIP GachiPls FLIP,0,gachipl flip gachipl flip gachipl flip gachipl flip gachipl flip gachipl flip gachipl flip gachipl flip,GachiPls FLIP
2021-09-14 17:51:58,greekgodx ,stanmeister,SHARKS monkaW,0,shark monkaw,SHARKS monkaW
2021-09-14 17:51:58,greekgodx ,sl3bubbles,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:58,greekgodx ,kian22,OCTOPUS monkaW @Greekgodx 󠀀,0,octopu monkaw @greekgodx 󠀀,OCTOPUS monkaW @Greekgodx 󠀀
2021-09-14 17:51:58,greekgodx ,specuh,A CROC,0,a croc,A CROC
2021-09-14 17:51:58,greekgodx ,johnsfatstomach,monkaW,0,monkaw,monkaW
2021-09-14 17:51:58,greekgodx ,ggx_goblin,monkaW,0,monkaw,monkaW
2021-09-14 17:51:58,greekgodx ,alrycath,monkaW,0,monkaw,monkaW
2021-09-14 17:51:59,greekgodx ,fluffyymix,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:59,greekgodx ,paxt___,OMEGALUL 󠀀,0,omegalul 󠀀,OMEGALUL 󠀀
2021-09-14 17:51:59,greekgodx ,slymadfox,LOST AT SEA.,0,lost at sea.,LOST AT SEA.
2021-09-14 17:51:59,greekgodx ,system32,monkaW,0,monkaw,monkaW
2021-09-14 17:51:59,greekgodx ,papiatnehotpafi,monkaW,0,monkaw,monkaW
2021-09-14 17:51:59,greekgodx ,asccorr,@ROSHTEIN ur the best rosh! <3,0,@roshtein ur best rosh! <3,@ROSHTEIN ur best rosh! <3
2021-09-14 17:51:59,greekgodx ,spr1nt3r,monkaS,0,monka,monkaS
2021-09-14 17:51:59,greekgodx ,solstickan,whale,0,whale,whale
2021-09-14 17:51:59,greekgodx ,prodbydt94,shark monkaS,0,shark monka,shark monkaS
2021-09-14 17:51:59,greekgodx ,kian22,OCTOPUS monkaW @Greekgodx,0,octopu monkaw @greekgodx,OCTOPUS monkaW @Greekgodx
2021-09-14 17:51:59,greekgodx ,cmonbruh_420,monkaW MEGALADON,0,monkaw megaladon,monkaW MEGALADON
2021-09-14 17:51:59,greekgodx ,mustfax19,shark monkaS 󠀀,0,shark monka 󠀀,shark monkaS 󠀀
2021-09-14 17:51:59,greekgodx ,archichnect,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:52:00,greekgodx ,sark3585,monkaW NESSIE,0,monkaw nessi,monkaW NESSIE
2021-09-14 17:52:00,greekgodx ,ii88,Cut to black,0,cut black,Cut black
2021-09-14 17:52:00,greekgodx ,superevilfinn,ACTUAL SHARK,0,actual shark,ACTUAL SHARK
2021-09-14 17:52:00,greekgodx ,haj_oon,monkaW,0,monkaw,monkaW
2021-09-14 17:52:00,greekgodx ,djaygizmo,LUL LUL LUL,0,lul lul lul,LUL
2021-09-14 17:52:00,greekgodx ,chowder1,sex time lol,0,sex time lol,sex time lol
2021-09-14 17:52:00,greekgodx ,spike_77,SHARK monkaW,0,shark monkaw,SHARK monkaW
2021-09-14 17:52:00,greekgodx ,hypn0tz,great white shark monkaW,0,great white shark monkaw,great white shark monkaW
2021-09-14 17:52:00,greekgodx ,fluxenis,monkerS shark monkerS shark monkerS shark monkerS shark,0,monker shark monker shark monker shark monker shark,monkerS shark
2021-09-14 17:52:00,greekgodx ,abnormaleu,monkaW,0,monkaw,monkaW
2021-09-14 17:52:00,greekgodx ,biggerbranch,shark monkaW,0,shark monkaw,shark monkaW
2021-09-14 17:52:00,greekgodx ,siosefa,A turtle,0,a turtl,A turtle
2021-09-14 17:52:00,greekgodx ,harvzz,monkaS shark,0,monka shark,monkaS shark
2021-09-14 17:52:00,greekgodx ,kian22,OCTOPUS monkaW @Greekgodx 󠀀,0,octopu monkaw @greekgodx 󠀀,OCTOPUS monkaW @Greekgodx 󠀀
2021-09-14 17:52:00,greekgodx ,ben420_,SHARK monkaW,0,shark monkaw,SHARK monkaW
2021-09-14 17:52:00,greekgodx ,mindshape,monkaW,0,monkaw,monkaW
2021-09-14 17:52:00,greekgodx ,betweenwas,monkaW,0,monkaw,monkaW
2021-09-14 17:52:01,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,"dont steer hard, steer just a littl","dont steer hard, STEER JUST A LITTLE"
2021-09-14 17:52:01,greekgodx ,futsunoningen,shark,0,shark,shark
2021-09-14 17:52:01,greekgodx ,grazahn1,monkaW,0,monkaw,monkaW
