,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
64,2023-01-29 00:28:41,xqc ,sanini123,@xqc potfriend <3,0,i,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
65,2023-01-29 00:28:41,xqc ,paiman8,wow,0,wow,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}"
66,2023-01-29 00:28:42,xqc ,b3kfust_,lulw,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
67,2023-01-29 00:28:43,xqc ,forsen_is_the_godgamer,lmfaoo wtf,0,wif,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.5859}"
68,2023-01-29 00:28:43,xqc ,swungsilver7,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
69,2023-01-29 00:28:43,xqc ,feelsokayman4,not bad,0,bad,"{'neg': 0.0, 'neu': 0.26, 'pos': 0.74, 'compound': 0.431}"
70,2023-01-29 00:28:43,xqc ,luiscorner,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
71,2023-01-29 00:28:44,xqc ,kzii_,forsencd :pinching_hand:,0,:pinching_hand:,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,2023-01-29 00:28:44,xqc ,instant_win,p good,0,good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
73,2023-01-29 00:28:44,xqc ,paiman8,nice,0,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}"
74,2023-01-29 00:28:44,xqc ,jdfritzle1,caughtin4k cheating 󠀀,0,cheat,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.5574}"
75,2023-01-29 00:28:44,xqc ,aduckthatrawrs,forsencd w drawing / cheater forsencd w drawing / cheater forsencd w drawing / cheater forsencd w drawing / cheater,0,cheater,"{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.9325}"
76,2023-01-29 00:28:45,xqc ,mrbahur11,actual nice drawing,0,nice,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
77,2023-01-29 00:28:45,xqc ,nobo_a,forsencd nice,0,nice,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}"
78,2023-01-29 00:28:45,xqc ,granoleb,forsencd  thumbs_up looks good to me,0,good,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
