,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
20,2023-01-29 01:30:47,sweet_anita ,sohnnyjilverhand,@turrrtle__ that was my ancestor!! pog strongge,0,pog,"{'neg': 0.189, 'neu': 0.472, 'pos': 0.339, 'compound': 0.3786}"
21,2023-01-29 01:30:48,sweet_anita ,hpea8,"hi, cutie! you have beautyful eyes  = ) imtyping",0,beauty,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4199}"
22,2023-01-29 01:30:49,sweet_anita ,sohnnyjilverhand,oh yeah kekw,0,yeah,"{'neg': 0.0, 'neu': 0.122, 'pos': 0.878, 'compound': 0.802}"
23,2023-01-29 01:31:06,sweet_anita ,drdandelion,@hpea8 anitawink thanks,0,thank,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
24,2023-01-29 01:31:12,sweet_anita ,harry_eve,sign's for pubs were for were we all illeterate lol,0,lol,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.7184}"
25,2023-01-29 01:31:18,sweet_anita ,m_hangman_m,kekw yeah that sht got really wild ngl kekw,0,yeah,"{'neg': 0.0, 'neu': 0.325, 'pos': 0.675, 'compound': 0.9255}"
26,2023-01-29 01:31:19,sweet_anita ,queen_winja,pompei literally got destroyed by a volcanic eruption. it had nothing todo with something they did,0,destroy,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}"
27,2023-01-29 01:31:22,sweet_anita ,juiceconnoisseur,"exactly, when living gets easier you're gonna choose pleasure",0,easier,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7579}"
28,2023-01-29 01:31:26,sweet_anita ,sohnnyjilverhand,yeah it makes a lot of sense that an abundance of free time leads to more excessive lifestyles and unique problems that come with that nodders,0,yeah free problem,"{'neg': 0.087, 'neu': 0.737, 'pos': 0.176, 'compound': 0.4215}"
29,2023-01-29 01:31:26,sweet_anita ,reallivebluescat,"sometimes it can also be good to ask yourself, why do i ask certain questions and not just trying to find an answer to certain questions. like ""modern sexuality is the fall of western civilisation"" that is often a right wing trope",0,good certain like,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.8225}"
