Data,Channel,Username,OriginalMessage,Message
2023-01-28 23:40:37,esfandtv ,sargeangel,KEKW,kekw
2023-01-28 23:42:45,esfandtv ,peter_hexen,kekw,kekw
2023-01-28 23:47:30,esfandtv ,peter_hexen,kekw,kekw
2023-01-28 23:29:46,esfandtv ,starrsiege,PoroSad,porosad
2023-01-28 23:29:51,esfandtv ,fuzzybeard90,poroSad,porosad
2023-01-28 23:29:50,esfandtv ,xhashbanditx,ROFL,rofl
2023-01-28 23:30:11,esfandtv ,5615pass,!schedule,!schedul
2023-01-28 23:30:23,esfandtv ,mahangm,monkaOMEGA,monkaomega
2023-01-28 23:30:52,esfandtv ,koominator,LETSGOOO,letsgooo
2023-01-28 23:31:41,esfandtv ,yippykaiyay322,esfandPls,esfandpl
2023-01-28 23:31:51,esfandtv ,yippykaiyay322,$horoscope,$horoscop
2023-01-28 23:32:12,esfandtv ,angeltwothree,$horoscope,$horoscop
2023-01-28 23:33:04,esfandtv ,angeltwothree,$horoscope,$horoscop
2023-01-28 23:33:48,esfandtv ,angeltwothree,$horoscope,$horoscop
2023-01-28 23:31:58,esfandtv ,zay_ih,Comfi,comfi
2023-01-28 23:32:33,esfandtv ,arcsilin,unfortunaty,unfortunati
2023-01-28 23:32:41,esfandtv ,fuzzybeard90,esfandExplaining,esfandexplain
2023-01-28 23:32:51,esfandtv ,nsufferable,cohhBoom,cohhboom
2023-01-28 23:33:03,esfandtv ,julian_______,WFire,wfire
2023-01-28 23:33:13,esfandtv ,sweetiepie2487,WFire,wfire
2023-01-28 23:33:04,esfandtv ,yippykaiyay322,HypeMine,hypemin
2023-01-28 23:33:09,esfandtv ,angeltwothree,wtf,wtf
2023-01-28 23:33:22,esfandtv ,yippykaiyay322,PowerUpR,powerupr
2023-01-28 23:34:24,esfandtv ,xhashbanditx,gachiHYPER,gachihyp
2023-01-28 23:34:26,esfandtv ,fuzzybeard90,gachiW,gachiw
2023-01-28 23:34:30,esfandtv ,htmlb0ss,YEAHBUT7TV,yeahbut7tv
2023-01-28 23:34:41,esfandtv ,peon501,out of juce,juce
2023-01-28 23:34:41,esfandtv ,muckspreads,gachiGASM,gachigasm
2023-01-28 23:35:31,esfandtv ,arcsilin,YEET,yeet
2023-01-28 23:35:31,esfandtv ,ericonda3,yeet,yeet
2023-01-28 23:36:07,esfandtv ,nsufferable,exemClap,exemclap
2023-01-28 23:36:29,esfandtv ,devilcecil,@arcsilin @arcsilin @arcsilin @arcsilin @arcsilin @arcsilin @arcsilin @arcsilin,@arcsilin
2023-01-28 23:36:44,esfandtv ,tuco30,<3,<3
2023-01-28 23:37:23,esfandtv ,ollie___________,are they doing cata?,cata?
2023-01-28 23:38:11,esfandtv ,devilcecil,@serapis_ammon,@serapis_ammon
2023-01-28 23:38:28,esfandtv ,serapis_ammon,@Devilcecil,@devilcecil
2023-01-28 23:39:07,esfandtv ,mahangm,peepoS,peepo
2023-01-28 23:39:30,esfandtv ,nsufferable,exemEGALUL,exemegalul
2023-01-28 23:39:36,esfandtv ,thegummibearmassacre,LOLLL,lolll
2023-01-28 23:39:36,esfandtv ,grannynonny,ESFAND!,esfand!
2023-01-28 23:39:41,esfandtv ,peter_hexen,Sadeg,sadeg
2023-01-28 23:39:43,esfandtv ,xconstantine1337x,Yikers,yiker
2023-01-28 23:39:58,esfandtv ,fozenoh,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:16,esfandtv ,genisyys_,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:20,esfandtv ,zellitan,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:32,esfandtv ,uneik,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:34,esfandtv ,peter_hexen,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:36,esfandtv ,caruro,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:37,esfandtv ,genisyys_,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:39,esfandtv ,zellitan,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:42,esfandtv ,zellitan,xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:44,esfandtv ,azrakos,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:46,esfandtv ,vanguard771,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:46,esfandtv ,kevwiches,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:04,esfandtv ,daunted_mist,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:04,esfandtv ,kekkokeeko,xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:15,esfandtv ,grannynonny,xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:30,esfandtv ,scarecro0w,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:37,esfandtv ,pilzkman,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:41:56,esfandtv ,zura_janai_katsura__da,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:42:05,esfandtv ,thegodmother,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:42:35,esfandtv ,peter_hexen,xddflippingonxddentge is not,xddflippingonxddentg
2023-01-28 23:42:37,esfandtv ,kekkokeeko,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:42:44,esfandtv ,kevwiches,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:43:06,esfandtv ,zellitan,xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:43:25,esfandtv ,zellitan,xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge  xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:46:50,esfandtv ,zellitan,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:47:11,esfandtv ,scarecro0w,xddflippingonxddentge no,xddflippingonxddentg
2023-01-28 23:47:14,esfandtv ,joongi_,xddflippingonxddentge The no,xddflippingonxddentg
2023-01-28 23:47:16,esfandtv ,zura_janai_katsura__da,xddflippingonxddentge,xddflippingonxddentg
2023-01-28 23:40:15,esfandtv ,3datmodels,esfandStare,esfandstar
2023-01-28 23:40:22,esfandtv ,grannynonny,Dehydrated?,dehydrated?
2023-01-28 23:40:34,esfandtv ,mahangm,pepeLaugh,pepelaugh
2023-01-28 23:40:41,esfandtv ,uwuskomp,xdding,xdding
2023-01-28 23:40:42,esfandtv ,kevwiches,xdding,xdding
2023-01-28 23:40:55,esfandtv ,nicholasw458,xdding,xdding
2023-01-28 23:41:02,esfandtv ,teleprompte,xdding xdding,xdding
2023-01-28 23:43:16,esfandtv ,h_u_r_k_,xdding,xdding
2023-01-28 23:41:11,esfandtv ,nsufferable,catsenLoot,catsenloot
2023-01-28 23:41:59,esfandtv ,kngrsm,lmao,lmao
2023-01-28 23:42:54,esfandtv ,slavkodem,hobbHi,hobbhi
2023-01-28 23:43:05,esfandtv ,mjedzi1028,madsWave,madswav
2023-01-28 23:43:41,esfandtv ,cuttyriver420,cyrL,cyrl
2023-01-28 23:44:23,esfandtv ,zay_ih,MEGALUL,megalul
2023-01-28 23:44:29,esfandtv ,faze_zaz420,cockapoo,cockapoo
2023-01-28 23:44:57,esfandtv ,bogusbutt,I fucked up,fuck
2023-01-28 23:47:08,esfandtv ,yusniff,fuck you,fuck
2023-01-28 23:45:25,esfandtv ,goaterino,KKonaW,kkonaw
2023-01-28 23:45:30,esfandtv ,azrakos,and?,and?
2023-01-28 23:45:40,esfandtv ,cuttyriver420,cyrPoogers,cyrpoog
2023-01-28 23:45:46,esfandtv ,cuttyriver420,cyrAYAYA,cyrayaya
2023-01-28 23:46:18,esfandtv ,peter_hexen,poggSpin,poggspin
2023-01-28 23:46:29,esfandtv ,pilzkman,waltuh,waltuh
2023-01-28 23:47:06,esfandtv ,hikikomorphi,NOIDONTTHINKSO,noidontthinkso
2023-01-28 23:47:11,esfandtv ,bryan_505,NinjaGrumpy,ninjagrumpi
2023-01-28 23:48:10,esfandtv ,fozenoh,BillyApprove,billyapprov
2023-01-28 23:48:17,esfandtv ,greenbaybucks,BatChest BatChest BatChest,batchest
