Data,Channel,Username,OriginalMessage,Message
2023-01-28 21:36:33,nmplol ,clopper6,omE,ome
2023-01-28 21:36:37,nmplol ,jordanr1812,omE,ome
2023-01-28 21:37:15,nmplol ,weshout,omE,ome
2023-01-28 21:41:56,nmplol ,nrthrn_lghts_,omE,ome
2023-01-28 21:46:07,nmplol ,solidipi,omE,ome
2023-01-28 21:31:26,nmplol ,jebayter,Texime,texim
2023-01-28 21:38:06,nmplol ,mardante,Texime,texim
2023-01-28 21:38:06,nmplol ,cykick1,Texime,texim
2023-01-28 21:38:07,nmplol ,swagemperor,Texime,texim
2023-01-28 21:38:09,nmplol ,temperatur1,Texime,texim
2023-01-28 21:38:13,nmplol ,c4ptainmonty,Texime,texim
2023-01-28 21:38:17,nmplol ,ligma_male420,Texime,texim
2023-01-28 21:38:19,nmplol ,joeythesuperjew,Texime,texim
2023-01-28 21:40:23,nmplol ,ryonenx,OUR Texime,texim
2023-01-28 21:52:51,nmplol ,yawkers,Texime,texim
2023-01-28 21:31:26,nmplol ,deepspace90s,yum,yum
2023-01-28 21:53:30,nmplol ,grilledcheesegalaxy,yum,yum
2023-01-28 21:31:27,nmplol ,pepegajuicer,Jesus,jesu
2023-01-28 21:40:13,nmplol ,yeti_hunter,jesus,jesu
2023-01-28 21:44:22,nmplol ,growyourown,jesus,jesu
2023-01-28 21:31:29,nmplol ,bluebacon11,Ogre,ogr
2023-01-28 21:31:33,nmplol ,kappatm,Ogre,ogr
2023-01-28 21:31:39,nmplol ,c4ptainmonty,Ogre,ogr
2023-01-28 21:31:42,nmplol ,batmaln,Ogre,ogr
2023-01-28 21:36:07,nmplol ,husby123,Ogre,ogr
2023-01-28 21:41:20,nmplol ,th3d0rkkn1ght,Ogre,ogr
2023-01-28 21:41:21,nmplol ,roomai_,Ogre,ogr
2023-01-28 21:41:25,nmplol ,gre3nb0w,Ogre,ogr
2023-01-28 21:41:45,nmplol ,stemster,Ogre,ogr
2023-01-28 21:41:46,nmplol ,megapog2,Ogre,ogr
2023-01-28 21:41:47,nmplol ,kadpole,Ogre,ogr
2023-01-28 21:41:48,nmplol ,magko_,Ogre,ogr
2023-01-28 21:41:49,nmplol ,lmaoafterlight,Ogre,ogr
2023-01-28 21:43:57,nmplol ,ligma_male420,Ogre,ogr
2023-01-28 21:45:47,nmplol ,greipmoon,Ogre,ogr
2023-01-28 21:45:53,nmplol ,lim0l,Ogre,ogr
2023-01-28 21:45:53,nmplol ,nrthrn_lghts_,Ogre,ogr
2023-01-28 21:45:57,nmplol ,xerrogh,Ogre,ogr
2023-01-28 21:45:58,nmplol ,drugsterrrr,Ogre,ogr
2023-01-28 21:45:58,nmplol ,crozone,Ogre,ogr
2023-01-28 21:45:59,nmplol ,neoaero99,Ogre,ogr
2023-01-28 21:54:16,nmplol ,ajarios,Ogre,ogr
2023-01-28 21:54:22,nmplol ,yawkers,Ogre,ogr
2023-01-28 21:54:24,nmplol ,pepegajuicer,Ogre,ogr
